team,opponent,venue,date,is_home
Carlton,Brisbane Lions,Marvel Stadium,2026-08-01,1
Brisbane Lions,Carlton,Marvel Stadium,2026-08-01,0
Collingwood,Geelong,MCG,2026-08-01,1
Geelong,Collingwood,MCG,2026-08-01,0
Essendon,Adelaide,Marvel Stadium,2026-08-01,1
Adelaide,Essendon,Marvel Stadium,2026-08-01,0
Gold Coast,Melbourne,People First Stadium,2026-08-01,1
Melbourne,Gold Coast,People First Stadium,2026-08-01,0
Hawthorn,North Melbourne,UTAS Stadium,2026-08-01,1
North Melbourne,Hawthorn,UTAS Stadium,2026-08-01,0
Richmond,West Coast,MCG,2026-08-01,1
West Coast,Richmond,MCG,2026-08-01,0
St Kilda,Sydney,Marvel Stadium,2026-08-01,1
Sydney,St Kilda,Marvel Stadium,2026-08-01,0
Port Adelaide,Greater Western Sydney,Adelaide Oval,2026-08-01,1
Greater Western Sydney,Port Adelaide,Adelaide Oval,2026-08-01,0
Fremantle,Western Bulldogs,Optus Stadium,2026-08-01,1
Western Bulldogs,Fremantle,Optus Stadium,2026-08-01,0
