team,opponent,venue,date,is_home
Brisbane Lions,Hawthorn,Gabba,2026-08-08,1
Hawthorn,Brisbane Lions,Gabba,2026-08-08,0
Geelong,Essendon,GMHBA Stadium,2026-08-08,1
Essendon,Geelong,GMHBA Stadium,2026-08-08,0
Greater Western Sydney,Gold Coast,Manuka Oval,2026-08-08,1
Gold Coast,Greater Western Sydney,Manuka Oval,2026-08-08,0
Melbourne,Fremantle,MCG,2026-08-08,1
Fremantle,Melbourne,MCG,2026-08-08,0
St Kilda,Carlton,Marvel Stadium,2026-08-08,1
Carlton,St Kilda,Marvel Stadium,2026-08-08,0
Sydney,Port Adelaide,SCG,2026-08-08,1
Port Adelaide,Sydney,SCG,2026-08-08,0
Western Bulldogs,North Melbourne,Marvel Stadium,2026-08-08,1
North Melbourne,Western Bulldogs,Marvel Stadium,2026-08-08,0
Adelaide,Richmond,Adelaide Oval,2026-08-08,1
Richmond,Adelaide,Adelaide Oval,2026-08-08,0
West Coast,Collingwood,Optus Stadium,2026-08-08,1
Collingwood,West Coast,Optus Stadium,2026-08-08,0
