team,opponent,venue,date,is_home
Sydney,Carlton,SCG,2026-03-05,1
Carlton,Sydney,SCG,2026-03-05,0
Gold Coast,Geelong,People First Stadium,2026-03-06,1
Geelong,Gold Coast,People First Stadium,2026-03-06,0
Greater Western Sydney,Hawthorn,ENGIE Stadium,2026-03-07,1
Hawthorn,Greater Western Sydney,ENGIE Stadium,2026-03-07,0
Brisbane Lions,Western Bulldogs,Gabba,2026-03-07,1
Western Bulldogs,Brisbane Lions,Gabba,2026-03-07,0
St Kilda,Collingwood,MCG,2026-03-08,1
Collingwood,St Kilda,MCG,2026-03-08,0
