team,opponent,venue,date,is_home
Essendon,St Kilda,Marvel Stadium,2026-07-04,1
St Kilda,Essendon,Marvel Stadium,2026-07-04,0
Geelong,Brisbane Lions,GMHBA Stadium,2026-07-04,1
Brisbane Lions,Geelong,GMHBA Stadium,2026-07-04,0
Gold Coast,Collingwood,People First Stadium,2026-07-04,1
Collingwood,Gold Coast,People First Stadium,2026-07-04,0
Greater Western Sydney,Fremantle,Manuka Oval,2026-07-04,1
Fremantle,Greater Western Sydney,Manuka Oval,2026-07-04,0
Hawthorn,Melbourne,UTAS Stadium,2026-07-04,1
Melbourne,Hawthorn,UTAS Stadium,2026-07-04,0
Richmond,Carlton,MCG,2026-07-04,1
Carlton,Richmond,MCG,2026-07-04,0
Sydney,Western Bulldogs,SCG,2026-07-04,1
Western Bulldogs,Sydney,SCG,2026-07-04,0
Port Adelaide,North Melbourne,Adelaide Oval,2026-07-04,1
North Melbourne,Port Adelaide,Adelaide Oval,2026-07-04,0
West Coast,Adelaide,Optus Stadium,2026-07-04,1
Adelaide,West Coast,Optus Stadium,2026-07-04,0
