team,opponent,venue,date,is_home
Collingwood,Carlton,MCG,2026-07-16,1
Carlton,Collingwood,MCG,2026-07-16,0
Essendon,Greater Western Sydney,Marvel Stadium,2026-07-16,1
Greater Western Sydney,Essendon,Marvel Stadium,2026-07-16,0
Geelong,St Kilda,GMHBA Stadium,2026-07-16,1
St Kilda,Geelong,GMHBA Stadium,2026-07-16,0
Gold Coast,Western Bulldogs,People First Stadium,2026-07-16,1
Western Bulldogs,Gold Coast,People First Stadium,2026-07-16,0
North Melbourne,Melbourne,Marvel Stadium,2026-07-16,1
Melbourne,North Melbourne,Marvel Stadium,2026-07-16,0
Port Adelaide,Fremantle,Adelaide Oval,2026-07-16,1
Fremantle,Port Adelaide,Adelaide Oval,2026-07-16,0
Richmond,Hawthorn,MCG,2026-07-16,1
Hawthorn,Richmond,MCG,2026-07-16,0
Sydney,Adelaide,SCG,2026-07-16,1
Adelaide,Sydney,SCG,2026-07-16,0
West Coast,Brisbane Lions,Optus Stadium,2026-07-16,1
Brisbane Lions,West Coast,Optus Stadium,2026-07-16,0
