mid,year,round,date,venue,team,opponent,player,ED,DE_pct,CCL,SCL,TO,MG,SI,ITC,T5,TOG_pct
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,N Blakey,21,80.8,0,0,4,804,3,8,0,87
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,M Roberts,20,76.9,0,0,6,447,6,8,0,95
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,I Heeney,15,71.4,6,4,2,166,6,1,2,82
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,C Warner,16,76.2,1,1,3,602,12,2,0,87
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,J Jordon,14,70.0,3,4,4,227,2,2,0,82
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,J Lloyd,12,63.2,0,1,4,271,3,4,0,87
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,S Wicks,12,66.7,0,0,3,319,4,9,0,90
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,O Florent,10,62.5,0,0,4,338,4,3,0,77
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,J Rowbottom,12,75.0,1,2,3,250,5,2,1,80
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,J McInerney,13,81.2,0,1,2,192,6,0,1,87
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,T Papley,9,69.2,0,1,4,138,6,0,0,81
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,B Paton,11,91.7,0,0,0,140,2,6,0,73
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,B Grundy,6,54.5,1,0,1,15,7,3,0,80
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,D Rampe,6,54.5,0,1,4,301,0,5,0,90
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,L Melican,9,81.8,0,0,2,75,0,5,0,89
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,J Amartey,8,72.7,0,0,1,229,5,2,1,82
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,C Warner,8,80.0,0,3,1,154,3,1,1,71
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,A Sheldrick,6,66.7,0,1,4,224,1,1,1,48
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,T Adams,6,75.0,0,1,4,106,2,0,0,54
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,B Campbell,7,87.5,0,0,2,225,3,0,0,80
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,T McCartin,5,71.4,0,0,2,151,2,0,0,89
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,T Hanily,4,66.7,0,1,2,40,1,0,1,31
11188,2025,R0,"Friday, 7th March 2025",SCG,Sydney,Hawthorn,W Hayward,4,80.0,0,0,0,83,2,0,2,79
11188,2025,R0,"Friday, 7th March 2025",SCG,Hawthorn,Sydney,K Amon,19,70.4,1,1,8,698,5,5,0,82
11188,2025,R0,"Friday, 7th March 2025",SCG,Hawthorn,Sydney,W Day,21,80.8,2,7,2,454,7,5,1,73
11188,2025,R0,"Friday, 7th March 2025",SCG,Hawthorn,Sydney,J Sicily,14,70.0,0,0,4,431,7,8,0,91
11188,2025,R0,"Friday, 7th March 2025",SCG,Hawthorn,Sydney,C Nash,13,65.0,1,5,1,206,4,2,1,80
11188,2025,R0,"Friday, 7th March 2025",SCG,Hawthorn,Sydney,J Newcombe,15,78.9,5,4,5,218,8,1,0,89
11188,2025,R0,"Friday, 7th March 2025",SCG,Hawthorn,Sydney,M D'Ambrosio,13,68.4,0,2,3,554,6,2,0,79
11188,2025,R0,"Friday, 7th March 2025",SCG,Hawthorn,Sydney,J Scrimshaw,17,94.4,0,0,1,113,6,9,0,77
11188,2025,R0,"Friday, 7th March 2025",SCG,Hawthorn,Sydney,D Moore,13,72.2,0,1,2,206,6,1,0,84
11188,2025,R0,"Friday, 7th March 2025",SCG,Hawthorn,Sydney,J Ginnivan,9,56.2,0,2,3,235,4,2,2,75
11188,2025,R0,"Friday, 7th March 2025",SCG,Hawthorn,Sydney,C Mackenzie,11,68.8,1,2,3,161,2,4,2,73
11188,2025,R0,"Friday, 7th March 2025",SCG,Hawthorn,Sydney,H Morrison,14,93.3,0,1,4,316,2,4,0,79
