mid,year,round,date,venue,team,opponent,player,ED,DE_pct,CCL,SCL,TO,MG,SI,ITC,T5,TOG_pct
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,T Taranto,18,56.2,3,2,9,542,4,3,3,80
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,D Rioli,25,92.6,0,0,5,681,5,7,0,84
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,D Martin,13,56.5,0,1,7,432,5,1,0,82
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,D Prestia,17,73.9,1,4,4,316,3,5,0,81
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,J Graham,14,70.0,0,2,7,283,5,4,1,88
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,T Cotchin,12,66.7,0,4,5,263,3,3,0,67
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,J Hopper,11,61.1,0,1,6,381,1,3,2,72
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,S Bolton,12,66.7,2,1,5,567,3,1,1,88
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,K McIntosh,12,70.6,0,1,3,262,3,2,0,82
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,J Short,13,76.5,0,1,5,479,4,1,0,77
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,L Baker,12,80.0,0,0,0,273,4,7,0,84
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,T Nankervis,5,35.7,0,5,2,170,3,3,2,84
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,N Broad,11,84.6,0,1,3,209,1,3,1,90
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,J Riewoldt,10,83.3,0,1,3,197,2,3,4,95
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,D Grimes,11,91.7,0,0,1,107,2,6,0,82
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,N Vlastuin,9,81.8,0,0,1,205,2,4,0,91
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,M Rioli,8,72.7,0,1,3,208,4,1,2,74
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,T Lynch,6,60.0,0,2,2,176,6,0,0,89
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,M Pickett,8,80.0,0,0,3,126,1,6,0,51
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,B Miller,8,88.9,0,3,1,84,4,3,0,80
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,N Balta,5,62.5,0,0,2,199,1,6,0,87
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,R Mansell,5,71.4,0,0,1,93,2,1,0,67
10751,2023,R1,"Thursday, 16th March 2023",MCG,Richmond,Carlton,J Ross,3,75.0,0,0,1,65,0,2,0,25
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,G Hewett,20,71.4,5,3,2,122,3,2,0,71
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,S Docherty,19,76.0,0,1,5,553,6,5,0,84
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,P Cripps,17,68.0,3,4,5,292,5,1,2,83
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,M Kennedy,16,72.7,1,3,3,425,4,1,0,69
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,M McGovern,14,66.7,0,1,4,542,5,9,0,76
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,A Cerra,16,76.2,0,2,3,389,5,4,1,73
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,J Weitering,15,75.0,0,0,3,487,3,8,0,100
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,L Young,13,65.0,0,1,7,235,1,14,0,95
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,A Saad,17,94.4,0,0,1,430,5,8,0,86
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,B Acres,11,68.8,0,0,4,228,1,4,1,84
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,E Curnow,8,57.1,0,1,5,300,4,1,0,86
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,N Newman,11,78.6,0,0,3,240,0,5,0,90
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,H McKay,6,46.2,0,0,7,394,6,1,0,96
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,T De Koning,8,61.5,1,2,0,167,4,3,1,79
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,O Hollands,8,72.7,0,2,3,155,3,2,1,81
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,C Curnow,8,80.0,0,0,6,191,6,0,1,95
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,M Owies,6,60.0,0,0,5,102,3,1,1,70
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,J Motlop,6,60.0,0,0,5,156,2,1,1,81
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,Z Fisher,5,71.4,0,1,0,159,3,1,0,67
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,L Cowan,4,57.1,0,0,3,166,2,6,0,53
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,J Martin,4,66.7,0,0,0,59,4,0,2,71
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,J Silvagni,5,100.0,0,1,0,53,2,1,0,85
10751,2023,R1,"Thursday, 16th March 2023",MCG,Carlton,Richmond,L O'Brien,3,75.0,0,0,1,88,0,1,0,25
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,P Dangerfield,12,54.5,6,0,4,236,5,3,0,62
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,I Smith,17,81.0,0,1,7,730,6,2,2,88
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,T Atkins,18,85.7,2,3,1,259,3,6,0,80
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,G Miers,12,63.2,1,0,6,221,11,1,0,87
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,Z Tuohy,13,72.2,0,0,3,514,2,9,0,92
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,T Stengle,10,58.8,0,1,1,269,5,1,0,76
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,T Bruhn,8,47.1,3,0,5,309,2,1,0,64
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,M Holmes,14,82.4,1,1,4,439,4,2,0,80
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,R Stanley,8,50.0,0,2,5,307,3,2,0,85
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,J Cameron,10,62.5,0,2,1,365,8,1,0,100
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,C Guthrie,9,60.0,2,1,3,229,0,0,0,74
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,M O'Connor,14,93.3,0,0,3,303,1,6,0,92
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,O Henry,14,93.3,0,2,3,198,5,3,0,83
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,M Blicavs,10,76.9,1,4,2,177,4,0,0,89
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,Z Guthrie,10,83.3,0,0,4,280,1,6,0,91
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,T Hawkins,7,63.6,0,0,2,209,7,1,0,86
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,J Bews,6,54.5,0,0,2,214,0,5,0,80
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,B Close,5,50.0,1,1,0,130,5,0,3,80
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,G Rohan,6,75.0,0,0,3,182,4,1,1,81
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,S De Koning,6,85.7,0,0,1,109,2,4,0,84
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,E Ratugolea,5,83.3,0,0,2,102,0,6,0,94
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,B Parfitt,4,80.0,0,2,0,23,1,0,0,41
10752,2023,R1,"Friday, 17th March 2023",MCG,Geelong,Collingwood,T Stewart,3,100.0,0,0,0,138,2,1,0,12
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,N Daicos,32,91.4,0,3,1,579,9,5,0,86
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,J Noble,24,82.8,0,0,6,637,7,4,0,82
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,S Pendlebury,21,77.8,1,3,4,369,9,6,2,82
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,J Daicos,21,77.8,0,5,1,469,9,2,0,92
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,J De Goey,19,76.0,2,3,4,418,11,1,0,84
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,J Crisp,12,54.5,2,1,2,376,6,3,0,78
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,T Mitchell,17,81.0,5,5,3,272,6,1,1,76
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,B McCreery,17,85.0,1,0,1,413,8,0,0,72
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,S Sidebottom,17,89.5,1,1,3,332,4,4,1,88
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,B Maynard,16,84.2,0,0,3,281,5,9,0,86
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,W H-Elliott,9,50.0,0,3,10,319,4,2,0,71
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,T Adams,13,81.2,1,2,4,200,9,0,2,71
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,J Elliott,7,53.8,0,0,3,134,4,0,1,89
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,D Moore,11,84.6,0,0,4,327,4,9,0,100
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,D Cameron,6,54.5,1,2,1,81,6,3,0,77
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,B Hill,9,90.0,0,1,2,318,4,1,0,81
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,B Mihocek,5,55.6,0,0,3,168,5,1,1,85
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,J Howe,6,75.0,0,0,1,194,2,2,0,46
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,I Quaynor,6,75.0,0,0,2,16,3,5,0,79
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,D McStay,4,66.7,0,0,0,27,4,0,1,95
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,M Cox,6,100.0,1,0,2,222,5,0,1,52
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,N Murphy,5,83.3,0,0,1,72,1,3,0,88
10752,2023,R1,"Friday, 17th March 2023",MCG,Collingwood,Geelong,R McInnes,3,75.0,0,0,0,45,4,1,2,38
