mid,year,round,date,venue,team,opponent,player,ED,DE_pct,CCL,SCL,TO,MG,SI,ITC,T5,TOG_pct
9307,2017,R1,"Thursday, 23rd March 2017",MCG,Carlton,Richmond,M Murphy,23,65.7,3,4,8,503,6,3,0,76
9307,2017,R1,"Thursday, 23rd March 2017",MCG,Carlton,Richmond,K Simpson,23,69.7,1,3,6,594,6,8,0,92
9307,2017,R1,"Thursday, 23rd March 2017",MCG,Carlton,Richmond,B Gibbs,18,69.2,3,4,4,435,5,3,1,79
9307,2017,R1,"Thursday, 23rd March 2017",MCG,Carlton,Richmond,S Docherty,19,79.2,0,0,7,598,5,6,0,88
9307,2017,R1,"Thursday, 23rd March 2017",MCG,Carlton,Richmond,L Plowman,19,95.0,0,0,1,238,3,6,0,92
9307,2017,R1,"Thursday, 23rd March 2017",MCG,Carlton,Richmond,E Curnow,14,73.7,5,0,6,313,5,3,0,86
9307,2017,R1,"Thursday, 23rd March 2017",MCG,Carlton,Richmond,P Cripps,12,63.2,3,0,9,279,0,1,0,84
9307,2017,R1,"Thursday, 23rd March 2017",MCG,Carlton,Richmond,C Marchbank,15,78.9,0,0,6,274,1,13,0,88
9307,2017,R1,"Thursday, 23rd March 2017",MCG,Carlton,Richmond,D Thomas,13,76.5,0,0,5,356,4,2,0,76
9307,2017,R1,"Thursday, 23rd March 2017",MCG,Carlton,Richmond,B Smedts,15,88.2,0,3,2,161,3,2,0,70
9307,2017,R1,"Thursday, 23rd March 2017",MCG,Carlton,Richmond,M Kreuzer,6,40.0,2,2,3,255,3,0,1,84
9307,2017,R1,"Thursday, 23rd March 2017",MCG,Carlton,Richmond,M Wright,12,85.7,0,1,1,152,8,1,4,86
9307,2017,R1,"Thursday, 23rd March 2017",MCG,Carlton,Richmond,S Rowe,10,83.3,0,0,2,172,1,8,0,100
9307,2017,R1,"Thursday, 23rd March 2017",MCG,Carlton,Richmond,J Silvagni,8,72.7,0,0,2,255,7,0,1,79
9307,2017,R1,"Thursday, 23rd March 2017",MCG,Carlton,Richmond,S P-Seton,6,54.5,1,2,2,126,2,3,1,71
