mid,year,round,date,venue,team,opponent,player,ED,DE_pct,CCL,SCL,TO,MG,SI,ITC,T5,TOG_pct
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,C Petracca,29,76.3,3,6,4,869,13,3,0,87
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,C Oliver,24,75.0,3,3,8,549,8,7,2,81
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,J Viney,16,69.6,1,3,4,329,5,7,0,79
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,A Brayshaw,15,65.2,0,0,3,264,3,7,0,83
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,E Langdon,17,77.3,0,1,4,446,6,7,0,100
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,J Jordon,16,80.0,0,0,5,259,2,8,0,70
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,A N-Bullen,13,72.2,0,0,4,320,8,4,1,88
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,J Harmes,14,82.4,0,2,3,163,4,2,2,77
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,M Gawn,8,57.1,1,3,4,326,8,4,0,97
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,S May,11,78.6,0,0,3,384,1,5,0,97
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,C Spargo,9,64.3,0,0,4,182,4,2,0,63
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,B Brown,8,61.5,0,0,1,245,11,0,0,86
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,T Sparrow,10,76.9,1,1,2,197,3,1,0,65
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,T McDonald,9,75.0,0,0,2,218,2,3,0,83
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,L Jackson,10,83.3,0,1,0,166,7,1,1,86
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,J Hunt,9,81.8,0,0,2,226,2,4,0,86
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,J Smith,7,63.6,0,0,2,229,0,6,0,81
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,B Fritsch,5,55.6,0,0,2,251,6,0,0,81
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,T Bedford,7,77.8,0,0,1,124,1,4,1,55
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,J Bowey,8,88.9,0,1,2,197,1,4,0,73
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,A Tomlinson,6,75.0,0,0,3,151,0,3,0,100
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,K Pickett,5,100.0,0,0,1,143,3,1,0,68
10544,2022,R1,"Wednesday, 16th March 2022",MCG,Melbourne,Western Bulldogs,C Salem,2,66.7,0,0,2,-4,0,0,0,13
