mid,year,round,date,venue,team,opponent,player,ED,DE_pct,CCL,SCL,TO,MG,SI,ITC,T5,TOG_pct
9721,2019,R1,"Thursday, 21st March 2019",MCG,Carlton,Richmond,P Cripps,26,81.2,4,3,3,263,5,4,0,89
9721,2019,R1,"Thursday, 21st March 2019",MCG,Carlton,Richmond,M Murphy,21,72.4,0,1,5,530,7,3,0,87
9721,2019,R1,"Thursday, 21st March 2019",MCG,Carlton,Richmond,K Simpson,21,77.8,1,1,2,462,2,6,0,84
9721,2019,R1,"Thursday, 21st March 2019",MCG,Carlton,Richmond,D Thomas,23,85.2,0,0,4,434,8,6,0,78
9721,2019,R1,"Thursday, 21st March 2019",MCG,Carlton,Richmond,N Newman,22,84.6,0,1,2,584,4,6,0,84
9721,2019,R1,"Thursday, 21st March 2019",MCG,Carlton,Richmond,E Curnow,18,72.0,0,2,6,303,8,0,2,82
9721,2019,R1,"Thursday, 21st March 2019",MCG,Carlton,Richmond,W Setterfield,12,50.0,1,2,5,332,4,1,0,66
9721,2019,R1,"Thursday, 21st March 2019",MCG,Carlton,Richmond,S Walsh,13,54.2,0,4,7,430,5,1,1,82
9721,2019,R1,"Thursday, 21st March 2019",MCG,Carlton,Richmond,D Cuningham,15,68.2,2,1,4,328,6,0,2,79
9721,2019,R1,"Thursday, 21st March 2019",MCG,Carlton,Richmond,Z Fisher,15,68.2,3,5,7,391,6,1,0,80
9721,2019,R1,"Thursday, 21st March 2019",MCG,Carlton,Richmond,P Dow,14,66.7,1,0,4,195,5,5,0,76
9721,2019,R1,"Thursday, 21st March 2019",MCG,Carlton,Richmond,S P-Seton,11,61.1,1,1,6,282,0,4,0,85
9721,2019,R1,"Thursday, 21st March 2019",MCG,Carlton,Richmond,J Weitering,15,88.2,0,0,2,302,2,12,0,98
9721,2019,R1,"Thursday, 21st March 2019",MCG,Carlton,Richmond,L Plowman,13,100.0,0,1,1,169,2,6,0,91
9721,2019,R1,"Thursday, 21st March 2019",MCG,Carlton,Richmond,C Curnow,6,50.0,0,0,3,194,4,0,0,94
