mid,year,round,date,venue,team,opponent,player,ED,DE_pct,CCL,SCL,TO,MG,SI,ITC,T5,TOG_pct
6172,2016,R1,"Thursday, 24th March 2016",MCG,Richmond,Carlton,K Lambert,19,67.9,2,1,5,366,9,2,0,83
6172,2016,R1,"Thursday, 24th March 2016",MCG,Richmond,Carlton,B Houli,18,75.0,0,1,9,544,3,2,0,90
6172,2016,R1,"Thursday, 24th March 2016",MCG,Richmond,Carlton,D Martin,19,79.2,2,4,6,332,6,1,0,81
6172,2016,R1,"Thursday, 24th March 2016",MCG,Richmond,Carlton,T Cotchin,12,57.1,1,2,4,323,5,5,1,83
6172,2016,R1,"Thursday, 24th March 2016",MCG,Richmond,Carlton,B Ellis,17,81.0,1,2,4,160,2,3,0,88
6172,2016,R1,"Thursday, 24th March 2016",MCG,Richmond,Carlton,A Rance,18,90.0,0,0,1,185,3,10,0,98
6172,2016,R1,"Thursday, 24th March 2016",MCG,Richmond,Carlton,A Miles,14,73.7,3,4,3,213,5,2,0,72
6172,2016,R1,"Thursday, 24th March 2016",MCG,Richmond,Carlton,J Riewoldt,12,66.7,0,2,2,148,6,0,1,96
6172,2016,R1,"Thursday, 24th March 2016",MCG,Richmond,Carlton,N Vlastuin,14,77.8,0,1,5,263,7,6,0,80
6172,2016,R1,"Thursday, 24th March 2016",MCG,Richmond,Carlton,D Astbury,11,68.8,0,0,4,275,1,10,0,90
6172,2016,R1,"Thursday, 24th March 2016",MCG,Richmond,Carlton,J Townsend,12,75.0,2,0,2,153,6,2,0,78
6172,2016,R1,"Thursday, 24th March 2016",MCG,Richmond,Carlton,K McIntosh,12,85.7,0,3,2,239,2,3,0,87
6172,2016,R1,"Thursday, 24th March 2016",MCG,Richmond,Carlton,S Lloyd,10,71.4,0,2,7,290,6,1,0,87
6172,2016,R1,"Thursday, 24th March 2016",MCG,Richmond,Carlton,C Menadue,10,76.9,0,1,2,217,7,4,0,82
6172,2016,R1,"Thursday, 24th March 2016",MCG,Richmond,Carlton,S Edwards,11,91.7,1,1,1,273,7,1,0,83
6172,2016,R1,"Thursday, 24th March 2016",MCG,Richmond,Carlton,C Ellis,7,63.6,0,0,4,341,3,2,0,81
6172,2016,R1,"Thursday, 24th March 2016",MCG,Richmond,Carlton,B Griffiths,9,90.0,1,0,2,278,4,1,0,71
6172,2016,R1,"Thursday, 24th March 2016",MCG,Richmond,Carlton,S Hampson,5,62.5,1,0,1,49,2,1,0,76
6172,2016,R1,"Thursday, 24th March 2016",MCG,Richmond,Carlton,T Vickery,6,75.0,0,0,0,198,6,0,0,72
6172,2016,R1,"Thursday, 24th March 2016",MCG,Richmond,Carlton,D Rioli,4,57.1,0,0,1,228,3,1,2,69
6172,2016,R1,"Thursday, 24th March 2016",MCG,Richmond,Carlton,D Grimes,5,83.3,0,0,2,89,0,1,0,84
6172,2016,R1,"Thursday, 24th March 2016",MCG,Richmond,Carlton,S Morris,4,100.0,0,0,1,133,1,1,0,71
6172,2016,R1,"Thursday, 24th March 2016",MCG,Carlton,Richmond,K Simpson,23,74.2,2,0,9,537,3,7,0,95
6172,2016,R1,"Thursday, 24th March 2016",MCG,Carlton,Richmond,B Gibbs,21,70.0,1,1,1,377,10,3,0,82
6172,2016,R1,"Thursday, 24th March 2016",MCG,Carlton,Richmond,S Docherty,24,82.8,0,0,3,365,6,8,0,84
6172,2016,R1,"Thursday, 24th March 2016",MCG,Carlton,Richmond,M Murphy,22,81.5,0,3,5,640,6,4,0,73
6172,2016,R1,"Thursday, 24th March 2016",MCG,Carlton,Richmond,P Cripps,20,74.1,2,8,3,115,6,2,0,84
6172,2016,R1,"Thursday, 24th March 2016",MCG,Carlton,Richmond,S Kerridge,17,70.8,2,4,6,446,4,3,0,86
6172,2016,R1,"Thursday, 24th March 2016",MCG,Carlton,Richmond,N Graham,18,78.3,1,0,4,342,6,2,1,88
6172,2016,R1,"Thursday, 24th March 2016",MCG,Carlton,Richmond,E Curnow,15,75.0,1,2,2,257,2,3,0,77
6172,2016,R1,"Thursday, 24th March 2016",MCG,Carlton,Richmond,Z Tuohy,16,88.9,0,0,3,246,7,6,0,89
6172,2016,R1,"Thursday, 24th March 2016",MCG,Carlton,Richmond,A Everitt,16,94.1,1,0,2,271,4,3,2,72
6172,2016,R1,"Thursday, 24th March 2016",MCG,Carlton,Richmond,J Weitering,16,94.1,0,0,3,226,3,5,0,81
6172,2016,R1,"Thursday, 24th March 2016",MCG,Carlton,Richmond,B Boekhorst,11,73.3,0,1,0,308,6,3,2,88
6172,2016,R1,"Thursday, 24th March 2016",MCG,Carlton,Richmond,S White,11,84.6,0,0,1,199,3,8,0,77
6172,2016,R1,"Thursday, 24th March 2016",MCG,Carlton,Richmond,J Lamb,8,61.5,0,0,5,303,2,1,0,78
6172,2016,R1,"Thursday, 24th March 2016",MCG,Carlton,Richmond,S Rowe,11,91.7,0,0,1,62,3,5,0,98
6172,2016,R1,"Thursday, 24th March 2016",MCG,Carlton,Richmond,M Wright,8,66.7,0,0,2,107,6,0,0,72
6172,2016,R1,"Thursday, 24th March 2016",MCG,Carlton,Richmond,L Casboult,7,58.3,0,0,1,67,2,0,2,88
6172,2016,R1,"Thursday, 24th March 2016",MCG,Carlton,Richmond,M Kreuzer,7,70.0,0,3,3,105,4,0,0,68
6172,2016,R1,"Thursday, 24th March 2016",MCG,Carlton,Richmond,A Walker,5,55.6,0,0,2,114,3,3,0,80
6172,2016,R1,"Thursday, 24th March 2016",MCG,Carlton,Richmond,M Jamison,8,88.9,1,0,1,66,1,3,0,85
6172,2016,R1,"Thursday, 24th March 2016",MCG,Carlton,Richmond,A Phillips,5,100.0,0,1,1,88,3,1,1,67
6172,2016,R1,"Thursday, 24th March 2016",MCG,Carlton,Richmond,D Buckley,3,100.0,0,0,1,69,0,0,0,88
6173,2016,R1,"Saturday, 26th March 2016",MCG,Melbourne,GWS,J Viney,20,62.5,3,1,6,517,11,1,0,86
6173,2016,R1,"Saturday, 26th March 2016",MCG,Melbourne,GWS,N Jones,21,77.8,2,1,3,440,9,3,1,91
6173,2016,R1,"Saturday, 26th March 2016",MCG,Melbourne,GWS,T McDonald,20,90.9,0,0,2,389,5,12,0,92
6173,2016,R1,"Saturday, 26th March 2016",MCG,Melbourne,GWS,C Oliver,16,72.7,5,2,4,112,6,3,1,58
6173,2016,R1,"Saturday, 26th March 2016",MCG,Melbourne,GWS,B Vince,17,81.0,2,0,8,315,3,7,0,85
6173,2016,R1,"Saturday, 26th March 2016",MCG,Melbourne,GWS,B Kennedy,17,81.0,0,2,3,443,7,1,0,82
6173,2016,R1,"Saturday, 26th March 2016",MCG,Melbourne,GWS,M Jones,20,95.2,0,1,0,152,8,3,2,86
6173,2016,R1,"Saturday, 26th March 2016",MCG,Melbourne,GWS,J Watts,14,77.8,0,0,4,340,6,2,1,85
6173,2016,R1,"Saturday, 26th March 2016",MCG,Melbourne,GWS,D Tyson,12,70.6,1,2,4,183,2,3,0,76
6173,2016,R1,"Saturday, 26th March 2016",MCG,Melbourne,GWS,J Hogan,12,70.6,0,0,4,325,6,3,1,91
6173,2016,R1,"Saturday, 26th March 2016",MCG,Melbourne,GWS,A Vandenberg,9,52.9,0,1,6,375,4,1,1,85
6173,2016,R1,"Saturday, 26th March 2016",MCG,Melbourne,GWS,N Jetta,14,93.3,0,0,1,178,4,2,1,94
6173,2016,R1,"Saturday, 26th March 2016",MCG,Melbourne,GWS,C Salem,11,73.3,0,1,3,441,2,4,0,88
6173,2016,R1,"Saturday, 26th March 2016",MCG,Melbourne,GWS,M Gawn,13,92.9,0,0,1,209,7,3,1,88
6173,2016,R1,"Saturday, 26th March 2016",MCG,Melbourne,GWS,T Bugg,9,69.2,0,0,3,50,0,2,1,74
6173,2016,R1,"Saturday, 26th March 2016",MCG,Melbourne,GWS,D Kent,12,92.3,0,0,2,397,5,1,0,87
6173,2016,R1,"Saturday, 26th March 2016",MCG,Melbourne,GWS,J Garlett,10,83.3,0,0,2,285,6,0,2,83
6173,2016,R1,"Saturday, 26th March 2016",MCG,Melbourne,GWS,C Pedersen,8,66.7,0,1,4,215,3,3,1,83
6173,2016,R1,"Saturday, 26th March 2016",MCG,Melbourne,GWS,C Garland,11,100.0,0,0,1,193,3,2,0,88
6173,2016,R1,"Saturday, 26th March 2016",MCG,Melbourne,GWS,O McDonald,5,45.5,0,0,3,59,2,3,0,66
6173,2016,R1,"Saturday, 26th March 2016",MCG,Melbourne,GWS,J Harmes,7,87.5,0,0,1,33,4,0,0,64
6173,2016,R1,"Saturday, 26th March 2016",MCG,Melbourne,GWS,S Frost,4,57.1,0,0,3,121,2,0,0,66
6173,2016,R1,"Saturday, 26th March 2016",MCG,GWS,Melbourne,H Shaw,15,50.0,0,0,9,500,4,9,0,93
6173,2016,R1,"Saturday, 26th March 2016",MCG,GWS,Melbourne,D Shiel,20,69.0,4,1,5,451,3,3,0,76
6173,2016,R1,"Saturday, 26th March 2016",MCG,GWS,Melbourne,C Ward,22,78.6,3,1,0,260,9,7,0,79
6173,2016,R1,"Saturday, 26th March 2016",MCG,GWS,Melbourne,T Scully,19,70.4,1,3,7,652,10,2,1,86
6173,2016,R1,"Saturday, 26th March 2016",MCG,GWS,Melbourne,S Johnson,14,60.9,0,3,7,391,8,1,1,85
6173,2016,R1,"Saturday, 26th March 2016",MCG,GWS,Melbourne,N Wilson,19,86.4,0,0,5,682,3,4,0,85
6173,2016,R1,"Saturday, 26th March 2016",MCG,GWS,Melbourne,L Whitfield,15,68.2,0,1,2,344,8,4,0,80
6173,2016,R1,"Saturday, 26th March 2016",MCG,GWS,Melbourne,J Kelly,15,83.3,0,3,0,364,5,0,1,76
6173,2016,R1,"Saturday, 26th March 2016",MCG,GWS,Melbourne,A Kennedy,11,68.8,1,0,4,219,2,2,0,80
6173,2016,R1,"Saturday, 26th March 2016",MCG,GWS,Melbourne,D Smith,10,62.5,0,0,2,288,7,0,2,75
6173,2016,R1,"Saturday, 26th March 2016",MCG,GWS,Melbourne,R Griffen,12,80.0,1,2,2,265,6,2,1,83
6173,2016,R1,"Saturday, 26th March 2016",MCG,GWS,Melbourne,R Palmer,13,86.7,0,1,1,180,8,1,1,83
6173,2016,R1,"Saturday, 26th March 2016",MCG,GWS,Melbourne,P Davis,12,80.0,0,0,1,54,5,14,0,95
6173,2016,R1,"Saturday, 26th March 2016",MCG,GWS,Melbourne,R Lobb,11,73.3,0,0,1,220,10,2,1,87
6173,2016,R1,"Saturday, 26th March 2016",MCG,GWS,Melbourne,C Marchbank,10,66.7,0,2,2,207,5,5,0,79
6173,2016,R1,"Saturday, 26th March 2016",MCG,GWS,Melbourne,T Greene,9,75.0,0,0,2,106,5,1,0,79
6173,2016,R1,"Saturday, 26th March 2016",MCG,GWS,Melbourne,S Mumford,10,90.9,0,2,1,2,5,3,1,88
6173,2016,R1,"Saturday, 26th March 2016",MCG,GWS,Melbourne,J Steele,8,72.7,0,1,1,194,6,0,0,70
6173,2016,R1,"Saturday, 26th March 2016",MCG,GWS,Melbourne,M Buntine,9,90.0,0,0,1,101,2,3,0,85
6173,2016,R1,"Saturday, 26th March 2016",MCG,GWS,Melbourne,A Tomlinson,5,55.6,0,0,3,175,6,0,1,88
6173,2016,R1,"Saturday, 26th March 2016",MCG,GWS,Melbourne,A Corr,7,87.5,1,0,0,119,3,5,0,82
6173,2016,R1,"Saturday, 26th March 2016",MCG,GWS,Melbourne,J Stewart,2,50.0,0,0,1,73,2,0,0,65
6174,2016,R1,"Saturday, 26th March 2016",People First Stadium,Gold Coast,Essendon,A Hall,26,72.2,3,1,5,695,11,2,0,77
6174,2016,R1,"Saturday, 26th March 2016",People First Stadium,Gold Coast,Essendon,G Ablett,24,70.6,3,6,4,551,11,3,3,87
6174,2016,R1,"Saturday, 26th March 2016",People First Stadium,Gold Coast,Essendon,M Rosa,26,81.2,0,1,5,359,8,3,0,86
6174,2016,R1,"Saturday, 26th March 2016",People First Stadium,Gold Coast,Essendon,D Prestia,19,65.5,0,4,7,577,10,3,0,67
6174,2016,R1,"Saturday, 26th March 2016",People First Stadium,Gold Coast,Essendon,M Rischitelli,25,92.6,8,2,1,245,10,2,1,79
6174,2016,R1,"Saturday, 26th March 2016",People First Stadium,Gold Coast,Essendon,A Sexton,14,60.9,0,1,4,499,9,2,1,85
6174,2016,R1,"Saturday, 26th March 2016",People First Stadium,Gold Coast,Essendon,J Harbrow,13,65.0,0,0,3,315,3,5,0,82
6174,2016,R1,"Saturday, 26th March 2016",People First Stadium,Gold Coast,Essendon,J Lonergan,16,80.0,2,0,3,215,7,6,2,67
6174,2016,R1,"Saturday, 26th March 2016",People First Stadium,Gold Coast,Essendon,T Miller,13,65.0,1,0,3,339,8,1,1,74
6174,2016,R1,"Saturday, 26th March 2016",People First Stadium,Gold Coast,Essendon,N Malceski,10,52.6,0,1,6,447,6,5,1,86
6174,2016,R1,"Saturday, 26th March 2016",People First Stadium,Gold Coast,Essendon,T Lynch,11,61.1,0,0,7,61,10,2,3,95
6174,2016,R1,"Saturday, 26th March 2016",People First Stadium,Gold Coast,Essendon,R Davis,9,52.9,0,1,4,149,5,3,2,75
6174,2016,R1,"Saturday, 26th March 2016",People First Stadium,Gold Coast,Essendon,T McKenzie,13,76.5,0,0,1,226,5,9,0,77
6174,2016,R1,"Saturday, 26th March 2016",People First Stadium,Gold Coast,Essendon,S May,13,81.2,0,0,1,405,6,5,0,93
