mid,year,round,date,venue,team,opponent,player,ED,DE_pct,CCL,SCL,TO,MG,SI,ITC,T5,TOG_pct
9928,2020,R1,"Thursday, 19th March 2020",MCG,Richmond,Carlton,D Prestia,18,72.0,2,0,8,546,8,3,0,79
9928,2020,R1,"Thursday, 19th March 2020",MCG,Richmond,Carlton,D Martin,18,75.0,3,0,2,257,8,3,1,93
9928,2020,R1,"Thursday, 19th March 2020",MCG,Richmond,Carlton,T Cotchin,12,63.2,2,1,5,463,7,2,0,80
9928,2020,R1,"Thursday, 19th March 2020",MCG,Richmond,Carlton,L Baker,12,75.0,0,1,4,222,7,10,0,82
9928,2020,R1,"Thursday, 19th March 2020",MCG,Richmond,Carlton,S Edwards,13,86.7,4,1,3,312,8,0,0,90
9928,2020,R1,"Thursday, 19th March 2020",MCG,Richmond,Carlton,J Caddy,12,80.0,0,2,6,299,5,3,1,94
9928,2020,R1,"Thursday, 19th March 2020",MCG,Richmond,Carlton,J Short,14,93.3,0,0,6,511,1,3,0,79
9928,2020,R1,"Thursday, 19th March 2020",MCG,Richmond,Carlton,D Astbury,14,100.0,0,0,1,300,3,7,0,98
9928,2020,R1,"Thursday, 19th March 2020",MCG,Richmond,Carlton,K Lambert,11,78.6,0,4,2,203,8,2,0,82
9928,2020,R1,"Thursday, 19th March 2020",MCG,Richmond,Carlton,M Pickett,10,71.4,0,2,3,267,6,3,0,73
9928,2020,R1,"Thursday, 19th March 2020",MCG,Richmond,Carlton,S Bolton,9,69.2,1,0,2,416,7,0,1,85
9928,2020,R1,"Thursday, 19th March 2020",MCG,Richmond,Carlton,D Rioli,11,91.7,0,0,3,246,9,1,0,81
9928,2020,R1,"Thursday, 19th March 2020",MCG,Richmond,Carlton,I Soldo,9,90.0,1,4,0,133,7,1,0,58
9928,2020,R1,"Thursday, 19th March 2020",MCG,Richmond,Carlton,S Stack,8,80.0,0,0,3,167,4,5,0,73
9928,2020,R1,"Thursday, 19th March 2020",MCG,Richmond,Carlton,T Lynch,7,77.8,0,0,1,121,6,0,0,91
9928,2020,R1,"Thursday, 19th March 2020",MCG,Richmond,Carlton,N Broad,8,88.9,0,0,3,165,2,2,0,94
9928,2020,R1,"Thursday, 19th March 2020",MCG,Richmond,Carlton,J Castagna,7,87.5,0,0,1,162,4,0,1,90
9928,2020,R1,"Thursday, 19th March 2020",MCG,Richmond,Carlton,J Graham,8,100.0,1,0,1,42,1,3,0,87
9928,2020,R1,"Thursday, 19th March 2020",MCG,Richmond,Carlton,D Grimes,5,71.4,0,0,2,92,1,6,0,97
