match_id,year,umpire_name,umpire_career_games,umpire_url
031420190321,2019,Simon Meredith,342,../../umpires/Simon_Meredith.html
031420190321,2019,Rob Findlay,213,../../umpires/Rob_Findlay.html
031420190321,2019,Craig Fleer,100,../../umpires/Craig_Fleer.html
040920190322,2019,Matt Stevic,357,../../umpires/Matt_Stevic.html
040920190322,2019,David Harris,116,../../umpires/David_Harris.html
040920190322,2019,Leigh Haussen,34,../../umpires/Leigh_Haussen.html
111320190323,2019,Brett Rosebury,399,../../umpires/Brett_Rosebury.html
111320190323,2019,Andrew Stephens,87,../../umpires/Andrew_Stephens.html
111320190323,2019,Brendan Hosking,132,../../umpires/Brendan_Hosking.html
011020190323,2019,Nick Foot,114,../../umpires/Nick_Foot.html
011020190323,2019,Ray Chamberlain,288,../../umpires/Ray_Chamberlain.html
011020190323,2019,Andre Gianfagna,15,../../umpires/Andre_Gianfagna.html
071620190323,2019,Shaun Ryan,306,../../umpires/Shaun_Ryan.html
071620190323,2019,Rob OGorman,87,../../umpires/Rob_OGorman.html
071620190323,2019,Nick Brown,37,../../umpires/Nick_Brown.html
181920190323,2019,Shane McInerney,485,../../umpires/Shane_McInerney.html
181920190323,2019,Nathan Williamson,46,../../umpires/Nathan_Williamson.html
181920190323,2019,Brent Wallace,47,../../umpires/Brent_Wallace.html
152020190324,2019,Jeff Dalgleish,190,../../umpires/Jeff_Dalgleish.html
152020190324,2019,Sam Hay,180,../../umpires/Sam_Hay.html
152020190324,2019,Hayden Meyer,30,../../umpires/Hayden_Meyer.html
052120190324,2019,Dean Margetts,324,../../umpires/Dean_Margetts.html
052120190324,2019,Leigh Fisher,115,../../umpires/Leigh_Fisher.html
052120190324,2019,Andrew Mitchell,113,../../umpires/Andrew_Mitchell.html
081220190324,2019,Chris Donlon,291,../../umpires/Chris_Donlon.html
081220190324,2019,Justin Power,1,../../umpires/Justin_Power.html
081220190324,2019,Jacob Mollison,217,../../umpires/Jacob_Mollison.html
041420190328,2019,Ray Chamberlain,289,../../umpires/Ray_Chamberlain.html
