match_id,year,umpire_name,umpire_career_games,umpire_url
111620240307,2024,Chris Donlon,404,../../umpires/Chris_Donlon.html
111620240307,2024,Hayden Meyer,147,../../umpires/Hayden_Meyer.html
111620240307,2024,Rob Findlay,331,../../umpires/Rob_Findlay.html
111620240307,2024,Jacob Mollison,0,../../umpires/Jacob_Mollison.html
031920240308,2024,Brett Rosebury,509,../../umpires/Brett_Rosebury.html
031920240308,2024,Andrew Stephens,205,../../umpires/Andrew_Stephens.html
031920240308,2024,Brendan Hosking,238,../../umpires/Brendan_Hosking.html
031920240308,2024,Simon Meredith,0,../../umpires/Simon_Meredith.html
142020240309,2024,Rob OGorman,197,../../umpires/Rob_OGorman.html
142020240309,2024,Mathew Nicholls,414,../../umpires/Mathew_Nicholls.html
142020240309,2024,Jamie Broadbent,73,../../umpires/Jamie_Broadbent.html
142020240309,2024,Andre Gianfagna,0,../../umpires/Andre_Gianfagna.html
042120240309,2024,Nick Foot,214,../../umpires/Nick_Foot.html
042120240309,2024,Matt Stevic,474,../../umpires/Matt_Stevic.html
042120240309,2024,Curtis Deboy,155,../../umpires/Curtis_Deboy.html
042120240309,2024,Nathan Williamson,0,../../umpires/Nathan_Williamson.html
031420240314,2024,Nick Foot,215,../../umpires/Nick_Foot.html
031420240314,2024,Leigh Fisher,218,../../umpires/Leigh_Fisher.html
031420240314,2024,Daniel Johanson,65,../../umpires/Daniel_Johanson.html
031420240314,2024,Rob Findlay,0,../../umpires/Rob_Findlay.html
041620240315,2024,Brett Rosebury,510,../../umpires/Brett_Rosebury.html
041620240315,2024,Andrew Stephens,206,../../umpires/Andrew_Stephens.html
041620240315,2024,Craig Fleer,207,../../umpires/Craig_Fleer.html
041620240315,2024,Andre Gianfagna,0,../../umpires/Andre_Gianfagna.html
051020240316,2024,Rob OGorman,198,../../umpires/Rob_OGorman.html
051020240316,2024,Mathew Nicholls,415,../../umpires/Mathew_Nicholls.html
051020240316,2024,Jamie Broadbent,74,../../umpires/Jamie_Broadbent.html
051020240316,2024,Peter Bailes,0,../../umpires/Peter_Bailes.html
122120240316,2024,Nick Brown,119,../../umpires/Nick_Brown.html
122120240316,2024,Alex Whetton,100,../../umpires/Alex_Whetton.html
122120240316,2024,Cameron Dore,81,../../umpires/Cameron_Dore.html
122120240316,2024,Jacob Mollison,0,../../umpires/Jacob_Mollison.html
091520240316,2024,Justin Power,93,../../umpires/Justin_Power.html
091520240316,2024,Matt Stevic,475,../../umpires/Matt_Stevic.html
091520240316,2024,Brendan Hosking,239,../../umpires/Brendan_Hosking.html
091520240316,2024,Martin Rodger,0,../../umpires/Martin_Rodger.html
012020240316,2024,John Howorth,88,../../umpires/John_Howorth.html
012020240316,2024,Simon Meredith,472,../../umpires/Simon_Meredith.html
012020240316,2024,Cameron Jones,9,../../umpires/Cameron_Jones.html
012020240316,2024,Nicholas McGinness,0,../../umpires/Nicholas_McGinness.html
071120240317,2024,Hayden Meyer,148,../../umpires/Hayden_Meyer.html
071120240317,2024,Rob Findlay,333,../../umpires/Rob_Findlay.html
071120240317,2024,Nathan Toner,39,../../umpires/Nathan_Toner.html
071120240317,2024,Andrew Adair,0,../../umpires/Andrew_Adair.html
131820240317,2024,Leigh Haussen,128,../../umpires/Leigh_Haussen.html
131820240317,2024,Curtis Deboy,156,../../umpires/Curtis_Deboy.html
131820240317,2024,Paul Rebeschini,58,../../umpires/Paul_Rebeschini.html
131820240317,2024,Harrison Birch,0,../../umpires/Harrison_Birch.html
081920240317,2024,Nathan Williamson,162,../../umpires/Nathan_Williamson.html
081920240317,2024,Andrew Heffernan,59,../../umpires/Andrew_Heffernan.html
081920240317,2024,Brent Wallace,119,../../umpires/Brent_Wallace.html
081920240317,2024,Matthew Young,0,../../umpires/Matthew_Young.html
041520240321,2024,Nick Foot,216,../../umpires/Nick_Foot.html
041520240321,2024,Leigh Fisher,219,../../umpires/Leigh_Fisher.html
041520240321,2024,Brendan Hosking,240,../../umpires/Brendan_Hosking.html
041520240321,2024,Jacob Mollison,0,../../umpires/Jacob_Mollison.html
010920240322,2024,Brett Rosebury,511,../../umpires/Brett_Rosebury.html
010920240322,2024,Andrew Stephens,207,../../umpires/Andrew_Stephens.html
010920240322,2024,Craig Fleer,208,../../umpires/Craig_Fleer.html
010920240322,2024,Andre Gianfagna,0,../../umpires/Andre_Gianfagna.html
081220240323,2024,Leigh Haussen,129,../../umpires/Leigh_Haussen.html
081220240323,2024,Curtis Deboy,157,../../umpires/Curtis_Deboy.html
081220240323,2024,Paul Rebeschini,59,../../umpires/Paul_Rebeschini.html
081220240323,2024,Harrison Birch,0,../../umpires/Harrison_Birch.html
101120240323,2024,Nathan Williamson,163,../../umpires/Nathan_Williamson.html
101120240323,2024,Andrew Heffernan,60,../../umpires/Andrew_Heffernan.html
101120240323,2024,Brent Wallace,120,../../umpires/Brent_Wallace.html
101120240323,2024,Andrew Adair,0,../../umpires/Andrew_Adair.html
051620240323,2024,Justin Power,94,../../umpires/Justin_Power.html
051620240323,2024,Daniel Johanson,66,../../umpires/Daniel_Johanson.html
051620240323,2024,Rob Findlay,334,../../umpires/Rob_Findlay.html
051620240323,2024,Martin Rodger,0,../../umpires/Martin_Rodger.html
