match_id,year,umpire_name,umpire_career_games,umpire_url
031420170323,2017,Sam Hay,139,../../umpires/Sam_Hay.html
031420170323,2017,Mathew Nicholls,281,../../umpires/Mathew_Nicholls.html
031420170323,2017,Matt Stevic,306,../../umpires/Matt_Stevic.html
040720170324,2017,Chris Kamolins,190,../../umpires/Chris_Kamolins.html
040720170324,2017,Justin Schmitt,328,../../umpires/Justin_Schmitt.html
040720170324,2017,Curtis Deboy,32,../../umpires/Curtis_Deboy.html
111520170325,2017,Ben Ryan,102,../../umpires/Ben_Ryan.html
111520170325,2017,Craig Fleer,60,../../umpires/Craig_Fleer.html
111520170325,2017,Ray Chamberlain,244,../../umpires/Ray_Chamberlain.html
131620170325,2017,Jacob Mollison,168,../../umpires/Jacob_Mollison.html
131620170325,2017,Shaun Ryan,259,../../umpires/Shaun_Ryan.html
131620170325,2017,Brendan Hosking,86,../../umpires/Brendan_Hosking.html
051020170325,2017,Shane McInerney,441,../../umpires/Shane_McInerney.html
051020170325,2017,Rob Findlay,166,../../umpires/Rob_Findlay.html
051020170325,2017,Nick Foot,80,../../umpires/Nick_Foot.html
192020170325,2017,David Harris,71,../../umpires/David_Harris.html
192020170325,2017,Rob OGorman,47,../../umpires/Rob_OGorman.html
192020170325,2017,Chris Donlon,245,../../umpires/Chris_Donlon.html
121820170326,2017,Andrew Mitchell,85,../../umpires/Andrew_Mitchell.html
121820170326,2017,Mathew Nicholls,282,../../umpires/Mathew_Nicholls.html
121820170326,2017,Dean Margetts,278,../../umpires/Dean_Margetts.html
012120170326,2017,Scott Jeffery,310,../../umpires/Scott_Jeffery.html
012120170326,2017,Andrew Stephens,52,../../umpires/Andrew_Stephens.html
012120170326,2017,Leigh Fisher,74,../../umpires/Leigh_Fisher.html
080920170326,2017,Nathan Williamson,1,../../umpires/Nathan_Williamson.html
080920170326,2017,Simon Meredith,289,../../umpires/Simon_Meredith.html
080920170326,2017,Jeff Dalgleish,142,../../umpires/Jeff_Dalgleish.html
041420170330,2017,Curtis Deboy,33,../../umpires/Curtis_Deboy.html
041420170330,2017,Justin Schmitt,329,../../umpires/Justin_Schmitt.html
041420170330,2017,Chris Kamolins,191,../../umpires/Chris_Kamolins.html
