distribution,round,n_players,mae,brier_10plus,logloss_10plus,base_rate_10plus,hitrate_10plus,brier_15plus,logloss_15plus,base_rate_15plus,hitrate_15plus,brier_20plus,logloss_20plus,base_rate_20plus,hitrate_20plus,brier_25plus,logloss_25plus,base_rate_25plus,hitrate_25plus,brier_30plus,logloss_30plus,base_rate_30plus,hitrate_30plus
poisson,24,414,3.7537,0.1296,0.402,0.7681,0.8283,0.142,0.4343,0.4855,0.8297,0.1129,0.3567,0.2826,0.8193,0.0643,0.2011,0.1135,0.6452,0.027,0.0932,0.0314,0.3333
gaussian,1,184,3.5175,0.1312,0.3974,0.7717,0.825,0.1378,0.4319,0.4728,0.8072,0.1011,0.3364,0.2391,0.7586,0.0768,0.2955,0.125,0.5833,0.0278,0.0911,0.038,1.0
gaussian,2,414,4.6485,0.151,0.4648,0.8164,0.84,0.2031,0.6063,0.5072,0.763,0.1591,0.5531,0.2995,0.7812,0.0901,0.3455,0.1401,0.75,0.0373,0.2824,0.0459,
gaussian,3,368,4.3136,0.1335,0.4106,0.7962,0.8279,0.1808,0.5323,0.5136,0.7371,0.1341,0.4407,0.2799,0.7403,0.0889,0.3284,0.1332,0.56,0.0402,0.3135,0.0489,0.0
gaussian,4,322,4.253,0.1363,0.4273,0.7919,0.8173,0.1749,0.5175,0.5155,0.7651,0.1329,0.437,0.2919,0.7681,0.0824,0.3148,0.1304,0.6333,0.034,0.1341,0.0528,0.6
gaussian,5,368,3.9305,0.1364,0.4081,0.7745,0.7948,0.1573,0.4789,0.5109,0.7978,0.1282,0.3973,0.288,0.7468,0.0734,0.2356,0.1332,0.6875,0.0358,0.1186,0.0435,0.3333
gaussian,6,414,3.7893,0.1248,0.3932,0.7947,0.8249,0.1494,0.4582,0.5266,0.8111,0.1212,0.3815,0.3164,0.8144,0.0715,0.2308,0.1329,0.6216,0.0278,0.0909,0.0338,0.2857
gaussian,7,414,3.8569,0.1411,0.4283,0.7681,0.798,0.1645,0.5046,0.4976,0.75,0.1,0.3213,0.2512,0.7653,0.0681,0.2133,0.1232,0.6154,0.0287,0.1027,0.0362,0.7143
gaussian,8,414,3.8972,0.1294,0.3924,0.7754,0.8093,0.1365,0.4235,0.5411,0.8402,0.1097,0.3444,0.2923,0.7849,0.0737,0.2312,0.1329,0.6333,0.0348,0.1184,0.0459,0.4
gaussian,9,413,3.8768,0.1336,0.4083,0.7627,0.8078,0.163,0.4913,0.4915,0.7463,0.1133,0.3519,0.2591,0.7174,0.0718,0.2378,0.1259,0.7188,0.0304,0.1143,0.0363,0.25
gaussian,10,414,4.0233,0.1292,0.4048,0.7778,0.8208,0.1589,0.4895,0.5411,0.8213,0.1226,0.3871,0.2512,0.6593,0.066,0.2123,0.1159,0.5938,0.0359,0.116,0.0459,0.5
