distribution,mae,brier_10plus,logloss_10plus,hitrate_10plus,brier_15plus,logloss_15plus,hitrate_15plus,brier_20plus,logloss_20plus,hitrate_20plus,brier_25plus,logloss_25plus,hitrate_25plus,brier_30plus,logloss_30plus,hitrate_30plus
poisson,3.9083208333333332,0.1360583333333333,0.43104583333333335,0.8188041666666667,0.15461666666666665,0.47908333333333325,0.7970708333333333,0.11732083333333332,0.384925,0.7683291666666667,0.07374166666666666,0.2848875,0.6576458333333334,0.032325,0.13321249999999998,0.44855217391304353
gaussian,3.9074041666666663,0.13430416666666667,0.41137916666666663,0.8141583333333333,0.15442916666666667,0.4741625,0.7903416666666668,0.11616249999999999,0.3720416666666666,0.7622583333333335,0.07267083333333334,0.248225,0.6467958333333333,0.0321,0.12705,0.4565130434782609
negbin,3.90925,0.1372375,0.42575,0.8331291666666667,0.16121666666666667,0.49592499999999995,0.8221999999999999,0.1221875,0.3891,0.7987375,0.07535416666666665,0.25256249999999997,0.694125,0.03430416666666666,0.12947083333333334,0.42222
